"Date","Price","Open","High","Low","Vol.","Change %"
"Sep 26, 2018","33,027.18","33,027.18","33,027.18","33,027.18","-","1.27%"
"Sep 24, 2018","32,613.90","32,613.90","32,613.90","32,613.90","-","-2.09%"
"Sep 21, 2018","33,308.86","33,308.86","33,308.86","33,308.86","-","2.58%"
"Sep 20, 2018","32,471.45","32,471.45","32,471.45","32,471.45","-","0.49%"
"Sep 19, 2018","32,312.59","32,312.59","32,312.59","32,312.59","-","1.81%"
"Sep 18, 2018","31,737.85","31,737.85","31,737.85","31,737.85","-","0.91%"
"Sep 17, 2018","31,453.06","31,453.06","31,453.06","31,453.06","-","-1.35%"
"Sep 14, 2018","31,882.06","31,882.06","31,882.06","31,882.06","-","0.89%"
"Sep 13, 2018","31,601.70","31,601.70","31,601.70","31,601.70","-","3.12%"
"Sep 12, 2018","30,645.81","30,645.81","30,645.81","30,645.81","-","-0.70%"
"Sep 11, 2018","30,862.25","30,862.25","30,862.25","30,862.25","-","-1.01%"
"Sep 10, 2018","31,176.98","31,176.98","31,176.98","31,176.98","-","-1.31%"
"Sep 07, 2018","31,589.51","31,589.51","31,589.51","31,589.51","-","0.03%"
"Sep 06, 2018","31,580.95","31,580.95","31,580.95","31,580.95","-","-0.50%"
"Sep 05, 2018","31,739.97","31,739.97","31,739.97","31,739.97","-","-2.65%"
"Sep 04, 2018","32,602.88","32,602.88","32,602.88","32,602.88","-","0.95%"
"Sep 03, 2018","32,294.49","32,294.49","32,294.49","32,294.49","-","-0.67%"
"Aug 31, 2018","32,511.54","32,511.54","32,511.54","32,511.54","-","-0.93%"
"Aug 30, 2018","32,818.26","32,818.26","32,818.26","32,818.26","-","-1.02%"
"Aug 29, 2018","33,155.29","33,155.29","33,155.29","33,155.29","-","-0.09%"
"Aug 28, 2018","33,184.88","33,184.88","33,184.88","33,184.88","-","0.25%"
"Aug 27, 2018","33,103.42","33,103.42","33,103.42","33,103.42","-","2.63%"
"Aug 24, 2018","32,256.58","32,256.58","32,256.58","32,256.58","-","-0.42%"
"Aug 23, 2018","32,393.45","32,393.45","32,393.45","32,393.45","-","-0.41%"
"Aug 22, 2018","32,527.95","32,527.95","32,527.95","32,527.95","-","1.05%"
"Aug 21, 2018","32,188.74","32,188.74","32,188.74","32,188.74","-","1.33%"
"Aug 20, 2018","31,764.82","31,764.82","31,764.82","31,764.82","-","1.50%"
"Aug 17, 2018","31,296.24","31,296.24","31,296.24","31,296.24","-","0.48%"
"Aug 16, 2018","31,145.71","31,145.71","31,145.71","31,145.71","-","-0.45%"
"Aug 15, 2018","31,286.27","31,286.27","31,286.27","31,286.27","-","-2.15%"
"Aug 14, 2018","31,972.62","31,972.62","31,972.62","31,972.62","-","-0.99%"
"Aug 13, 2018","32,292.40","32,292.40","32,292.40","32,292.40","-","-1.96%"
"Aug 10, 2018","32,937.39","32,937.39","32,937.39","32,937.39","-","-0.40%"
"Aug 09, 2018","33,069.18","33,069.18","33,069.18","33,069.18","-","1.25%"
"Aug 08, 2018","32,660.37","32,660.37","32,660.37","32,660.37","-","0.29%"
"Aug 07, 2018","32,566.53","32,566.53","32,566.53","32,566.53","-","2.13%"
"Aug 06, 2018","31,888.48","31,888.48","31,888.48","31,888.48","-","0.09%"
"Aug 03, 2018","31,858.77","31,858.77","31,858.77","31,858.77","-","-0.29%"
"Aug 02, 2018","31,951.22","31,951.22","31,951.22","31,951.22","-","-2.33%"
"Aug 01, 2018","32,713.37","32,713.37","32,713.37","32,713.37","-","-0.84%"
"Jul 31, 2018","32,989.62","32,989.62","32,989.62","32,989.62","-","-0.42%"
"Jul 30, 2018","33,127.41","33,127.41","33,127.41","33,127.41","-","-0.39%"
"Jul 27, 2018","33,257.68","33,257.68","33,257.68","33,257.68","-","0.10%"
"Jul 26, 2018","33,223.30","33,223.30","33,223.30","33,223.30","-","-0.64%"
"Jul 25, 2018","33,436.36","33,436.36","33,436.36","33,436.36","-","1.14%"
"Jul 24, 2018","33,058.21","33,058.21","33,058.21","33,058.21","-","2.38%"
"Jul 23, 2018","32,288.43","32,288.43","32,288.43","32,288.43","-","0.45%"
"Jul 20, 2018","32,143.71","32,143.71","32,143.71","32,143.71","-","1.18%"
"Jul 19, 2018","31,767.88","31,767.88","31,767.88","31,767.88","-","-0.82%"
"Jul 18, 2018","32,031.54","32,031.54","32,031.54","32,031.54","-","-0.17%"
"Jul 17, 2018","32,087.07","32,087.07","32,087.07","32,087.07","-","-1.34%"
"Jul 16, 2018","32,522.51","32,522.51","32,522.51","32,522.51","-","-0.38%"
"Jul 13, 2018","32,646.98","32,646.98","32,646.98","32,646.98","-","-0.06%"
"Jul 12, 2018","32,666.25","32,666.25","32,666.25","32,666.25","-","1.09%"
"Jul 11, 2018","32,313.77","32,313.77","32,313.77","32,313.77","-","-1.55%"
"Jul 10, 2018","32,823.76","32,823.76","32,823.76","32,823.76","-","0.36%"
"Jul 09, 2018","32,705.62","32,705.62","32,705.62","32,705.62","-","2.07%"
"Jul 06, 2018","32,041.48","32,041.48","32,041.48","32,041.48","-","0.22%"
"Jul 05, 2018","31,969.66","31,969.66","31,969.66","31,969.66","-","0.02%"
"Jul 04, 2018","31,963.57","31,963.57","31,963.57","31,963.57","-","-1.46%"
"Jul 03, 2018","32,437.43","32,437.43","32,437.43","32,437.43","-","-1.69%"
"Jun 29, 2018","32,995.47","32,995.47","32,995.47","32,995.47","-","2.56%"
"Jun 28, 2018","32,173.25","32,173.25","32,173.25","32,173.25","-","0.11%"
"Jun 27, 2018","32,137.88","32,137.88","32,137.88","32,137.88","-","-2.29%"
"Jun 26, 2018","32,891.90","32,891.90","32,891.90","32,891.90","-","-0.78%"
"Jun 25, 2018","33,149.77","33,149.77","33,149.77","33,149.77","-","-1.52%"
"Jun 22, 2018","33,661.20","33,661.20","33,661.20","33,661.20","-","-0.11%"
"Jun 21, 2018","33,699.91","33,699.91","33,699.91","33,699.91","-","-1.48%"
"Jun 20, 2018","34,206.54","34,206.54","34,206.54","34,206.54","-","0.27%"
"Jun 19, 2018","34,114.46","34,114.46","34,114.46","34,114.46","-","-3.11%"
"Jun 15, 2018","35,210.19","35,210.19","35,210.19","35,210.19","-","-0.71%"
"Jun 14, 2018","35,462.07","35,462.07","35,462.07","35,462.07","-","-0.95%"
"Jun 13, 2018","35,802.34","35,802.34","35,802.34","35,802.34","-","-1.46%"
"Jun 12, 2018","36,333.66","36,333.66","36,333.66","36,333.66","-","0.34%"
"Jun 11, 2018","36,210.51","36,210.51","36,210.51","36,210.51","-","0.17%"
"Jun 08, 2018","36,150.06","36,150.06","36,150.06","36,150.06","-","-1.90%"
"Jun 07, 2018","36,850.14","36,850.14","36,850.14","36,850.14","-","1.19%"
"Jun 06, 2018","36,416.01","36,416.01","36,416.01","36,416.01","-","0.42%"
"Jun 05, 2018","36,262.99","36,262.99","36,262.99","36,262.99","-","0.42%"
"Jun 04, 2018","36,112.52","36,112.52","36,112.52","36,112.52","-","2.11%"
"Jun 01, 2018","35,367.31","35,367.31","35,367.31","35,367.31","-","0.53%"
"May 31, 2018","35,180.21","35,180.21","35,180.21","35,180.21","-","1.77%"
"May 30, 2018","34,566.80","34,566.80","34,566.80","34,566.80","-","-1.69%"
"May 29, 2018","35,160.20","35,160.20","35,160.20","35,160.20","-","-1.23%"
"May 28, 2018","35,599.52","35,599.52","35,599.52","35,599.52","-","0.47%"
