"Date","Price","Open","High","Low","Vol.","Change %"
"Sep 27, 2018","303.15","300.20","303.70","300.20","208.84K","0.71%"
"Sep 21, 2018","301.00","300.40","301.15","299.40","198.54K","0.45%"
"Sep 20, 2018","299.65","297.80","300.80","297.40","231.25K","0.88%"
"Sep 19, 2018","297.05","297.85","297.85","295.75","177.95K","0.07%"
"Sep 18, 2018","296.85","293.60","296.90","293.30","215.77K","0.54%"
"Sep 17, 2018","295.25","297.00","297.00","294.55","148.48K","-0.94%"
"Sep 14, 2018","298.05","295.40","298.05","295.40","236.55K","1.64%"
"Sep 13, 2018","293.25","293.00","293.75","292.45","88.02K","0.12%"
"Sep 12, 2018","292.90","293.15","293.50","291.35","32.49K","0.03%"
"Sep 11, 2018","292.80","293.65","295.00","292.00","20.97K","-0.41%"
"Sep 10, 2018","294.00","293.50","294.45","293.05","9.22K","0.31%"
"Sep 07, 2018","293.10","292.75","293.90","290.80","329.37K","-0.48%"
"Sep 06, 2018","294.50","294.45","295.85","293.80","216.60K","-0.07%"
"Sep 05, 2018","294.70","297.70","298.40","294.55","225.93K","-1.42%"
"Sep 04, 2018","298.95","297.65","299.15","297.00","176.35K","0.50%"
"Sep 03, 2018","297.45","299.10","299.10","297.10","173.41K","-0.70%"
"Aug 31, 2018","299.55","296.95","299.55","296.20","190.54K","0.45%"
"Aug 30, 2018","298.20","298.30","299.95","297.40","191.53K","0.07%"
"Aug 29, 2018","298.00","297.60","298.40","297.10","131.01K","0.18%"
"Aug 28, 2018","297.45","298.25","299.00","297.10","158.52K","0.12%"
"Aug 27, 2018","297.10","296.65","297.40","295.55","153.92K","0.54%"
"Aug 24, 2018","295.50","293.60","296.05","292.70","192.42K","0.46%"
"Aug 23, 2018","294.15","294.40","294.40","292.65","144.63K","0.27%"
"Aug 22, 2018","293.35","292.60","293.90","291.85","182.98K","0.29%"
"Aug 21, 2018","292.50","288.85","292.50","288.15","200.85K","1.19%"
"Aug 20, 2018","289.05","289.90","291.20","288.60","189.88K","0.12%"
"Aug 17, 2018","288.70","288.60","289.50","288.05","136.98K","0.12%"
"Aug 16, 2018","288.35","287.40","289.45","286.00","302.86K","-1.15%"
"Aug 14, 2018","291.70","290.75","292.05","290.30","177.62K","0.40%"
"Aug 13, 2018","290.55","292.20","292.40","288.75","222.74K","-1.19%"
"Aug 10, 2018","294.05","296.75","296.75","293.60","230.12K","-1.18%"
"Aug 09, 2018","297.55","297.60","297.90","296.10","213.25K","-0.05%"
"Aug 08, 2018","297.70","298.15","298.75","297.25","157.23K","-0.07%"
"Aug 07, 2018","297.90","296.15","297.90","294.75","171.35K","0.71%"
"Aug 06, 2018","295.80","296.20","297.75","295.55","190.71K","0.00%"
"Aug 03, 2018","295.80","294.65","296.10","293.80","178.01K","0.78%"
"Aug 02, 2018","293.50","299.15","299.15","293.40","268.91K","-1.95%"
"Aug 01, 2018","299.35","298.70","300.25","298.55","185.59K","0.47%"
"Jul 31, 2018","297.95","297.70","298.25","296.85","149.85K","0.05%"
"Jul 30, 2018","297.80","297.55","298.45","296.45","168.50K","-0.25%"
"Jul 27, 2018","298.55","298.20","298.55","297.00","131.53K","0.35%"
"Jul 26, 2018","297.50","297.35","298.75","295.90","190.25K","0.68%"
"Jul 25, 2018","295.50","296.75","297.85","295.25","186.61K","-0.25%"
"Jul 24, 2018","296.25","295.80","296.65","294.20","198.72K","0.29%"
"Jul 23, 2018","295.40","297.35","297.35","294.80","243.16K","-0.71%"
"Jul 20, 2018","297.50","296.55","298.05","294.65","316.08K","0.49%"
"Jul 19, 2018","296.05","298.20","298.50","296.00","190.65K","-0.34%"
"Jul 18, 2018","297.05","299.25","300.55","296.65","181.21K","-0.10%"
"Jul 17, 2018","297.35","298.00","298.65","296.25","191.88K","-0.29%"
"Jul 16, 2018","298.20","299.20","299.90","297.75","148.41K","-0.30%"
"Jul 13, 2018","299.10","296.15","299.70","296.15","220.83K","1.05%"
"Jul 12, 2018","296.00","295.70","297.30","294.30","270.00K","0.24%"
"Jul 11, 2018","295.30","294.40","295.65","292.15","284.36K","-0.56%"
"Jul 10, 2018","296.95","297.35","298.30","296.40","166.10K","0.24%"
"Jul 09, 2018","296.25","294.00","297.20","293.10","251.88K","0.90%"
"Jul 06, 2018","293.60","291.75","295.25","290.65","310.06K","0.55%"
"Jul 05, 2018","292.00","292.45","293.90","290.40","304.37K","-0.19%"
"Jul 04, 2018","292.55","293.60","294.85","292.30","257.12K","-0.41%"
"Jul 03, 2018","293.75","295.00","295.10","291.30","338.89K","0.29%"
"Jul 02, 2018","292.90","299.05","300.00","292.90","280.99K","-2.37%"
"Jun 29, 2018","300.00","299.45","300.50","296.40","277.31K","0.30%"
"Jun 28, 2018","299.10","300.70","301.50","298.35","270.55K","-0.81%"
"Jun 27, 2018","301.55","302.15","303.75","301.55","237.74K","-0.28%"
"Jun 26, 2018","302.40","300.60","303.60","299.45","284.53K","-0.28%"
"Jun 25, 2018","303.25","303.10","303.85","300.30","263.24K","-0.13%"
"Jun 22, 2018","303.65","298.20","303.65","298.20","217.08K","0.96%"
"Jun 21, 2018","300.75","303.60","304.65","300.60","216.36K","-1.13%"
"Jun 20, 2018","304.20","302.70","305.55","301.85","244.29K","0.95%"
"Jun 19, 2018","301.35","305.05","305.75","300.95","222.45K","-1.47%"
"Jun 18, 2018","305.85","309.45","309.45","304.35","180.95K","-1.08%"
"Jun 15, 2018","309.20","311.95","312.00","308.95","162.92K","-0.39%"
"Jun 14, 2018","310.40","314.90","314.90","310.40","123.04K","-1.97%"
"Jun 12, 2018","316.65","318.15","318.55","316.50","46.07K","-0.30%"
"Jun 11, 2018","317.60","315.20","317.60","314.55","16.50K","0.75%"
"Jun 08, 2018","315.25","316.75","316.95","314.25","9.24K","-0.86%"
"Jun 07, 2018","318.00","316.55","318.70","316.40","151.91K","0.98%"
"Jun 05, 2018","314.90","314.30","315.10","312.25","159.03K","0.19%"
"Jun 04, 2018","314.30","312.90","314.85","312.70","128.79K","0.56%"
"Jun 01, 2018","312.55","310.45","313.60","309.60","166.98K","0.73%"
"May 31, 2018","310.30","310.80","311.15","309.35","167.07K","0.52%"
"May 30, 2018","308.70","314.75","314.90","307.65","280.39K","-2.33%"
"May 29, 2018","316.05","318.75","319.25","316.05","153.81K","-1.00%"
"May 28, 2018","319.25","319.20","319.75","318.55","119.11K","0.25%"
"May 25, 2018","318.45","315.90","318.65","315.90","144.52K","0.24%"
"May 24, 2018","317.70","319.15","319.25","316.55","147.44K","-0.19%"
"May 23, 2018","318.30","315.95","318.70","315.95","146.19K","0.65%"
"May 21, 2018","316.25","316.35","317.25","313.65","148.89K","0.11%"
"May 18, 2018","315.90","315.50","315.95","314.85","98.65K","0.43%"
"May 17, 2018","314.55","317.15","317.90","314.55","146.28K","-0.47%"
"May 16, 2018","316.05","313.90","316.90","313.90","161.00K","0.37%"
"May 15, 2018","314.90","317.65","318.20","314.75","140.50K","-0.97%"
"May 14, 2018","318.00","319.35","319.70","317.50","117.74K","-0.25%"
"May 11, 2018","318.80","318.35","319.90","318.10","146.51K","0.57%"
"May 10, 2018","317.00","316.30","317.20","315.50","190.34K","0.57%"
"May 09, 2018","315.20","315.60","316.25","313.00","231.31K","0.00%"
"May 08, 2018","315.20","318.45","319.25","315.20","174.97K","-0.76%"
"May 04, 2018","317.60","319.65","319.95","317.15","184.22K","-0.49%"
"May 03, 2018","319.15","319.95","320.70","318.65","146.53K","-0.55%"
"May 02, 2018","320.90","322.30","322.80","320.40","133.69K","-0.59%"
"Apr 30, 2018","322.80","322.45","323.35","321.65","109.01K","0.47%"
"Apr 27, 2018","321.30","321.60","323.25","320.10","203.42K","0.85%"
"Apr 26, 2018","318.60","315.20","319.50","315.20","211.99K","1.43%"
"Apr 25, 2018","314.10","313.80","314.65","312.65","187.04K","-0.76%"
"Apr 24, 2018","316.50","318.75","318.75","314.95","192.99K","-0.55%"
"Apr 23, 2018","318.25","317.70","318.75","317.15","140.45K","0.06%"
"Apr 20, 2018","318.05","318.55","319.75","318.05","149.18K","-0.66%"
"Apr 19, 2018","320.15","320.05","321.15","319.25","134.81K","0.44%"
"Apr 18, 2018","318.75","317.30","319.90","317.25","173.77K","1.01%"
"Apr 17, 2018","315.55","315.75","316.95","314.70","145.46K","0.03%"
"Apr 16, 2018","315.45","317.05","317.05","314.80","147.32K","-0.05%"
"Apr 13, 2018","315.60","314.15","315.90","314.00","161.70K","0.86%"
"Apr 12, 2018","312.90","314.70","315.30","312.90","230.50K","-0.22%"
"Apr 11, 2018","313.60","315.00","315.80","313.30","185.18K","-0.32%"
"Apr 10, 2018","314.60","312.90","315.40","310.30","257.11K","0.16%"
"Apr 09, 2018","314.10","311.55","314.65","311.55","176.31K","0.56%"
"Apr 06, 2018","312.35","311.40","312.80","310.55","235.41K","-0.56%"
"Apr 05, 2018","314.10","311.65","315.05","311.15","224.13K","1.75%"
"Apr 04, 2018","308.70","314.55","314.55","308.70","203.91K","-1.67%"
"Apr 03, 2018","313.95","312.00","314.20","311.05","204.44K","-0.21%"
"Apr 02, 2018","314.60","315.70","318.10","314.60","153.46K","-0.35%"
"Mar 30, 2018","315.70","317.25","317.90","315.45","134.60K","0.03%"
"Mar 29, 2018","315.60","312.85","315.60","311.65","219.29K","1.22%"
"Mar 28, 2018","311.80","312.75","313.15","310.60","240.33K","-1.42%"
"Mar 27, 2018","316.30","316.30","316.30","316.30","-","0.21%"
"Mar 26, 2018","315.65","311.75","315.65","310.40","242.72K","0.96%"
"Mar 23, 2018","312.65","316.50","317.65","311.90","275.27K","-3.28%"
"Mar 22, 2018","323.25","322.85","325.40","322.50","196.31K","0.15%"
"Mar 21, 2018","322.75","322.35","323.25","321.85","122.07K","0.09%"
"Mar 20, 2018","322.45","318.85","322.45","318.45","158.22K","0.45%"
"Mar 19, 2018","321.00","322.85","323.10","320.20","175.35K","-0.67%"
"Mar 16, 2018","323.15","323.30","323.75","320.85","178.62K","-0.26%"
"Mar 15, 2018","324.00","323.10","324.00","320.45","195.39K","0.40%"
"Mar 14, 2018","322.70","320.70","322.75","320.70","159.54K","0.02%"
"Mar 13, 2018","322.65","321.30","323.05","320.95","145.62K","0.44%"
"Mar 12, 2018","321.25","321.70","322.55","320.35","170.49K","0.94%"
"Mar 09, 2018","318.25","316.30","321.20","315.55","246.93K","1.11%"
"Mar 08, 2018","314.75","314.25","315.10","312.15","101.43K","1.21%"
"Mar 07, 2018","311.00","312.70","314.85","309.65","66.73K","-0.48%"
"Mar 06, 2018","312.50","308.45","312.50","307.80","22.46K","2.59%"
"Mar 05, 2018","304.60","308.45","309.20","304.60","16.10K","-1.31%"
"Mar 02, 2018","308.65","309.55","310.05","306.70","231.09K","-1.37%"
"Feb 28, 2018","312.95","316.10","317.25","312.75","231.50K","-1.04%"
"Feb 27, 2018","316.25","319.60","320.80","316.25","155.04K","-0.43%"
"Feb 26, 2018","317.60","318.70","318.70","316.40","129.67K","0.05%"
"Feb 23, 2018","317.45","313.65","317.45","313.65","172.91K","1.63%"
"Feb 22, 2018","312.35","312.25","313.20","311.20","181.22K","-0.70%"
"Feb 21, 2018","314.55","312.95","315.00","311.10","205.49K","0.66%"
"Feb 20, 2018","312.50","315.75","315.75","312.25","176.51K","-1.34%"
"Feb 19, 2018","316.75","319.10","319.10","314.80","190.16K","0.62%"
"Feb 14, 2018","314.80","312.85","315.60","312.85","185.02K","0.93%"
"Feb 13, 2018","311.90","310.55","314.35","309.25","229.83K","1.07%"
"Feb 12, 2018","308.60","306.55","309.80","305.25","212.59K","1.40%"
"Feb 09, 2018","304.35","302.65","306.25","302.65","304.97K","-2.76%"
"Feb 08, 2018","313.00","311.10","314.40","310.10","411.33K","0.97%"
"Feb 07, 2018","310.00","322.15","322.15","310.00","404.19K","-2.56%"
"Feb 06, 2018","318.15","317.10","319.40","313.15","478.12K","-1.65%"
"Feb 05, 2018","323.50","323.70","324.75","321.50","321.01K","-1.34%"
"Feb 02, 2018","327.90","333.15","333.15","327.05","283.00K","-1.87%"
"Feb 01, 2018","334.15","335.45","336.15","333.60","186.57K","-0.24%"
"Jan 31, 2018","334.95","332.85","339.20","332.85","312.76K","0.16%"
"Jan 30, 2018","334.40","338.35","338.90","334.00","224.44K","-1.36%"
"Jan 29, 2018","339.00","338.15","340.20","337.90","166.92K","0.76%"
"Jan 26, 2018","336.45","334.55","336.45","333.85","154.15K","0.49%"
"Jan 25, 2018","334.80","331.20","335.30","331.20","180.50K","0.81%"
"Jan 24, 2018","332.10","331.05","333.25","331.05","158.93K","0.11%"
"Jan 23, 2018","331.75","328.05","331.75","327.95","184.30K","1.53%"
"Jan 22, 2018","326.75","329.90","329.90","325.35","209.18K","-1.01%"
"Jan 19, 2018","330.10","330.50","331.05","329.60","128.85K","0.06%"
"Jan 18, 2018","329.90","331.60","332.65","329.55","183.85K","0.06%"
"Jan 17, 2018","329.70","329.95","330.75","328.95","151.58K","-0.39%"
"Jan 16, 2018","331.00","328.10","331.25","327.50","156.35K","0.98%"
"Jan 15, 2018","327.80","328.90","329.75","327.15","145.02K","0.14%"
"Jan 12, 2018","327.35","327.90","328.00","325.25","199.82K","0.11%"
"Jan 11, 2018","327.00","328.15","328.75","326.05","225.56K","-0.41%"
"Jan 10, 2018","328.35","331.80","331.80","328.10","254.78K","-0.79%"
"Jan 09, 2018","330.95","331.20","333.45","329.50","218.88K","-0.24%"
"Jan 08, 2018","331.75","331.30","332.60","329.45","220.29K","0.70%"
"Jan 05, 2018","329.45","326.40","329.70","326.40","162.65K","1.21%"
"Jan 04, 2018","325.50","330.05","330.05","325.05","226.05K","-0.82%"
"Jan 03, 2018","328.20","328.10","329.05","327.40","135.89K","0.37%"
"Jan 02, 2018","327.00","326.65","327.40","325.50","131.40K","0.26%"
"Dec 28, 2017","326.15","321.55","326.15","321.55","184.88K","1.38%"
"Dec 27, 2017","321.70","319.00","321.70","318.20","182.20K","1.18%"
"Dec 26, 2017","317.95","320.05","321.55","317.70","168.23K","-0.33%"
"Dec 22, 2017","319.00","318.55","319.75","317.45","146.85K","0.52%"
"Dec 21, 2017","317.35","323.00","323.40","317.35","206.00K","-2.07%"
"Dec 20, 2017","324.05","323.90","325.25","323.70","117.46K","-0.09%"
"Dec 19, 2017","324.35","325.25","327.25","323.75","177.32K","-0.09%"
"Dec 18, 2017","324.65","324.30","324.80","323.45","119.46K","0.43%"
"Dec 15, 2017","323.25","325.40","326.15","323.25","169.44K","-0.48%"
"Dec 14, 2017","324.80","324.30","328.35","323.60","139.16K","0.34%"
"Dec 13, 2017","323.70","322.15","324.10","321.20","54.61K","0.65%"
"Dec 12, 2017","321.60","322.80","322.80","321.10","18.83K","-0.43%"
"Dec 11, 2017","323.00","323.15","323.15","321.20","10.04K","0.14%"
"Dec 08, 2017","322.55","324.90","325.45","322.55","8.55K","-0.46%"
"Dec 07, 2017","324.05","325.60","325.80","322.70","224.21K","-0.29%"
"Dec 06, 2017","325.00","329.85","329.85","324.80","248.11K","-1.50%"
"Dec 05, 2017","329.95","326.90","330.35","326.40","177.38K","0.49%"
"Dec 04, 2017","328.35","326.60","328.55","325.20","173.64K","0.97%"
"Dec 01, 2017","325.20","326.40","326.75","324.60","179.66K","-0.12%"
"Nov 30, 2017","325.60","328.75","329.70","324.60","247.99K","-1.65%"
"Nov 29, 2017","331.05","331.55","332.50","330.55","129.57K","0.00%"
"Nov 28, 2017","331.05","330.15","331.70","329.05","192.76K","0.55%"
"Nov 27, 2017","329.25","335.75","335.75","329.25","223.02K","-1.89%"
"Nov 24, 2017","335.60","335.20","335.75","334.10","98.68K","0.24%"
"Nov 23, 2017","334.80","336.20","336.20","334.60","101.03K","-0.33%"
"Nov 22, 2017","335.90","336.05","337.35","334.95","165.73K","0.51%"
"Nov 21, 2017","334.20","334.10","335.15","333.30","131.14K","0.42%"
"Nov 20, 2017","332.80","335.00","335.50","332.55","177.83K","-0.45%"
"Nov 17, 2017","334.30","336.25","338.55","334.25","228.72K","-0.10%"
"Nov 16, 2017","334.65","333.35","335.20","332.70","130.74K","0.65%"
"Nov 15, 2017","332.50","333.90","333.95","332.15","193.51K","-0.64%"
"Nov 14, 2017","334.65","334.80","335.20","333.85","154.52K","-0.07%"
"Nov 13, 2017","334.90","336.65","337.80","334.40","185.41K","-0.40%"
"Nov 10, 2017","336.25","335.35","337.15","335.25","189.94K","-0.22%"
"Nov 09, 2017","337.00","339.20","339.20","335.65","318.76K","-0.47%"
"Nov 08, 2017","338.60","335.70","339.55","335.45","287.19K","0.44%"
"Nov 07, 2017","337.10","337.45","338.95","336.80","235.89K","-0.12%"
"Nov 06, 2017","337.50","339.00","339.40","335.15","259.60K","-0.65%"
"Nov 03, 2017","339.70","339.30","339.70","337.05","195.34K","0.38%"
