"Date","Price","Open","High","Low","Vol.","Change %"
"Sep 26, 2018","480.28","478.41","481.98","478.38","-","0.42%"
"Sep 25, 2018","478.29","477.45","478.59","476.30","-","-0.05%"
"Sep 24, 2018","478.54","482.72","482.74","477.28","-","-0.86%"
"Sep 21, 2018","482.68","477.45","483.48","477.21","-","1.40%"
"Sep 20, 2018","476.01","473.58","477.63","473.58","-","0.57%"
"Sep 19, 2018","473.31","468.21","473.98","467.76","-","1.13%"
"Sep 18, 2018","468.02","465.86","468.07","464.57","-","0.34%"
"Sep 17, 2018","466.44","471.29","471.29","465.99","-","-1.17%"
"Sep 14, 2018","471.95","467.69","472.61","467.69","-","1.07%"
"Sep 13, 2018","466.95","461.63","468.60","461.48","-","1.31%"
"Sep 12, 2018","460.90","460.85","462.13","458.19","-","0.15%"
"Sep 11, 2018","460.22","463.70","464.01","458.56","-","-0.77%"
"Sep 10, 2018","463.81","468.07","468.52","463.13","-","-1.14%"
"Sep 07, 2018","469.17","467.83","469.32","465.65","-","0.47%"
"Sep 06, 2018","466.98","468.73","469.12","465.25","-","-0.31%"
"Sep 05, 2018","468.43","476.27","476.27","468.33","-","-1.76%"
"Sep 04, 2018","476.83","479.40","481.14","476.06","-","-0.66%"
"Sep 03, 2018","480.00","483.87","483.87","479.44","-","-0.82%"
"Aug 31, 2018","483.99","484.43","484.53","481.12","-","-0.17%"
"Aug 30, 2018","484.83","491.17","492.61","484.02","-","-1.16%"
"Aug 29, 2018","490.51","490.50","491.20","489.05","-","-0.00%"
"Aug 28, 2018","490.52","490.01","492.26","490.01","-","0.14%"
"Aug 27, 2018","489.81","481.84","489.96","481.62","-","1.81%"
"Aug 24, 2018","481.12","479.03","482.05","477.03","-","0.19%"
"Aug 23, 2018","480.20","482.06","483.35","479.06","-","-0.23%"
"Aug 22, 2018","481.29","478.32","481.90","477.24","-","0.61%"
"Aug 21, 2018","478.37","474.08","479.40","473.96","-","1.04%"
"Aug 20, 2018","473.45","469.50","474.19","469.44","-","1.07%"
"Aug 17, 2018","468.45","467.72","470.64","467.57","-","0.14%"
"Aug 16, 2018","467.81","468.23","469.44","464.44","-","-0.18%"
"Aug 15, 2018","468.64","477.04","477.04","467.17","-","-1.83%"
"Aug 14, 2018","477.36","477.02","478.59","475.35","-","-0.06%"
"Aug 13, 2018","477.67","484.90","484.90","475.74","-","-1.79%"
"Aug 10, 2018","486.39","492.79","492.96","485.11","-","-1.49%"
"Aug 09, 2018","493.77","493.73","496.02","492.56","-","-0.09%"
"Aug 08, 2018","494.20","494.33","496.44","493.88","-","-0.00%"
"Aug 07, 2018","494.21","490.06","495.39","489.53","-","0.83%"
"Aug 06, 2018","490.16","491.63","494.19","489.62","-","-0.22%"
"Aug 03, 2018","491.23","488.29","492.14","487.60","-","0.58%"
"Aug 02, 2018","488.42","497.05","497.05","487.40","-","-1.77%"
"Aug 01, 2018","497.22","497.52","498.98","496.40","-","-0.04%"
"Jul 31, 2018","497.44","498.89","498.91","496.54","-","-0.24%"
"Jul 30, 2018","498.64","499.70","500.00","497.30","-","-0.19%"
