"Date","Price","Open","High","Low","Vol.","Change %"
"Sep 26, 2018","6,080.21","6,067.98","6,101.96","6,059.97","-","0.13%"
"Sep 25, 2018","6,072.05","6,033.53","6,075.99","6,031.72","-","0.40%"
"Sep 24, 2018","6,047.99","6,059.77","6,060.50","6,030.96","-","-0.28%"
"Sep 21, 2018","6,064.88","6,041.08","6,077.51","6,040.08","-","0.66%"
"Sep 20, 2018","6,024.82","5,977.14","6,036.85","5,969.66","-","0.90%"
"Sep 19, 2018","5,971.13","5,952.06","5,980.08","5,950.27","-","0.56%"
"Sep 18, 2018","5,938.01","5,901.95","5,946.02","5,901.95","-","0.52%"
"Sep 17, 2018","5,907.57","5,884.48","5,914.86","5,871.72","-","0.23%"
"Sep 14, 2018","5,893.89","5,877.31","5,916.51","5,877.31","-","0.47%"
"Sep 13, 2018","5,866.05","5,849.72","5,891.67","5,849.72","-","0.42%"
"Sep 12, 2018","5,841.26","5,814.47","5,852.12","5,800.58","-","0.54%"
"Sep 11, 2018","5,810.09","5,809.56","5,835.36","5,787.96","-","-0.01%"
"Sep 10, 2018","5,810.81","5,781.10","5,819.33","5,772.42","-","0.35%"
"Sep 07, 2018","5,790.67","5,815.10","5,818.14","5,767.51","-","-0.46%"
"Sep 06, 2018","5,817.64","5,840.00","5,844.51","5,810.87","-","-0.44%"
"Sep 05, 2018","5,843.47","5,893.77","5,893.77","5,831.74","-","-0.75%"
"Sep 04, 2018","5,887.54","5,940.90","5,940.90","5,873.88","-","-0.97%"
"Sep 03, 2018","5,944.94","5,935.93","5,944.94","5,925.68","-","-0.25%"
"Aug 31, 2018","5,959.58","6,007.54","6,011.66","5,940.19","-","-0.71%"
"Aug 30, 2018","6,002.45","6,039.88","6,043.80","5,993.34","-","-0.40%"
"Aug 29, 2018","6,026.37","6,016.19","6,035.24","6,005.44","-","0.10%"
"Aug 28, 2018","6,020.08","6,011.17","6,038.40","6,001.85","-","0.31%"
"Aug 27, 2018","6,001.71","5,952.18","6,008.43","5,950.14","-","0.99%"
