"Date","Price","Open","High","Low","Vol.","Change %"
"Sep 27, 2018","662.03","675.74","675.90","659.17","-","-2.14%"
"Sep 26, 2018","676.50","684.45","689.97","674.29","-","-1.17%"
"Sep 25, 2018","684.53","684.34","692.95","681.53","-","-0.04%"
"Sep 24, 2018","684.82","691.11","694.95","682.10","-","-0.94%"
"Sep 23, 2018","691.29","691.11","691.35","691.10","-","-0.05%"
"Sep 21, 2018","691.61","697.88","699.49","688.26","-","-0.85%"
"Sep 20, 2018","697.52","688.10","701.81","688.05","-","1.41%"
"Sep 19, 2018","687.83","672.56","693.16","671.97","-","2.35%"
"Sep 18, 2018","672.04","673.23","675.27","667.46","-","-0.28%"
"Sep 17, 2018","673.96","657.97","675.71","657.58","-","2.45%"
"Sep 16, 2018","657.82","657.97","658.03","657.82","-","-0.12%"
"Sep 14, 2018","658.58","664.27","666.29","657.91","-","-0.81%"
"Sep 13, 2018","663.96","665.55","675.83","661.22","-","-0.13%"
"Sep 12, 2018","664.83","648.79","670.88","644.68","-","2.71%"
"Sep 11, 2018","647.26","647.02","648.72","636.36","-","0.03%"
"Sep 10, 2018","647.06","656.77","657.22","646.93","-","-1.50%"
"Sep 09, 2018","656.89","656.77","656.91","656.76","-","-0.11%"
"Sep 07, 2018","657.63","654.93","661.63","650.00","-","0.44%"
"Sep 06, 2018","654.72","659.15","665.37","653.61","-","-0.63%"
"Sep 05, 2018","658.85","666.42","667.45","655.98","-","-1.13%"
"Sep 04, 2018","666.39","684.09","686.47","660.31","-","-2.59%"
"Sep 03, 2018","684.12","678.29","685.03","678.15","-","0.86%"
"Sep 02, 2018","678.30","678.27","678.35","678.15","-","-0.16%"
"Aug 31, 2018","679.37","680.21","683.84","675.50","-","-0.18%"
"Aug 30, 2018","680.60","691.27","691.58","677.69","-","-1.44%"
"Aug 29, 2018","690.53","693.18","694.28","686.66","-","-0.43%"
"Aug 28, 2018","693.51","704.46","711.91","688.74","-","-1.47%"
"Aug 27, 2018","703.85","688.73","704.16","688.70","-","2.16%"
"Aug 26, 2018","688.99","688.71","689.04","688.71","-","0.08%"
"Aug 24, 2018","688.46","666.47","694.20","663.10","-","3.14%"
"Aug 23, 2018","667.47","687.73","688.15","663.31","-","-2.90%"
"Aug 22, 2018","687.37","686.96","689.61","684.16","-","0.11%"
"Aug 21, 2018","686.61","680.69","689.16","679.58","-","1.04%"
"Aug 20, 2018","679.53","670.14","684.64","670.00","-","1.41%"
"Aug 19, 2018","670.05","670.16","670.17","670.02","-","0.12%"
"Aug 17, 2018","669.26","660.60","673.41","655.00","-","1.25%"
"Aug 16, 2018","661.00","679.64","688.94","660.24","-","-2.64%"
"Aug 15, 2018","678.93","718.51","718.56","677.06","-","-5.51%"
"Aug 14, 2018","718.49","724.88","730.37","717.41","-","-0.94%"
"Aug 13, 2018","725.30","747.96","748.97","722.93","-","-3.01%"
"Aug 12, 2018","747.81","747.98","748.32","747.80","-","-0.21%"
"Aug 10, 2018","749.39","754.33","756.60","745.88","-","-0.77%"
"Aug 09, 2018","755.23","752.67","763.73","752.27","-","0.42%"
"Aug 08, 2018","752.05","752.91","757.00","747.12","-","-0.18%"
"Aug 07, 2018","753.42","762.06","769.74","752.83","-","-1.15%"
"Aug 06, 2018","762.20","767.50","769.49","761.94","-","-0.69%"
"Aug 05, 2018","767.53","767.52","767.60","767.50","-","-0.07%"
"Aug 03, 2018","768.05","765.89","776.44","763.70","-","0.25%"
"Aug 02, 2018","766.17","771.28","771.97","764.49","-","-0.69%"
"Aug 01, 2018","771.53","775.92","778.76","771.00","-","-0.62%"
"Jul 31, 2018","776.33","774.45","781.42","769.36","-","0.20%"
"Jul 30, 2018","774.76","778.20","779.32","773.92","-","-0.43%"
"Jul 29, 2018","778.13","778.21","778.27","778.11","-","-0.03%"
"Jul 27, 2018","778.35","780.95","783.57","774.92","-","-0.37%"
"Jul 26, 2018","781.22","789.10","794.64","780.93","-","-0.77%"
"Jul 25, 2018","787.30","780.45","789.99","779.51","-","0.86%"
"Jul 24, 2018","780.57","775.99","783.98","775.34","-","0.55%"
"Jul 23, 2018","776.33","783.95","785.70","774.52","-","-0.98%"
"Jul 22, 2018","783.98","783.93","784.16","783.90","-","0.08%"
"Jul 20, 2018","783.37","778.83","787.33","776.51","-","0.60%"
"Jul 19, 2018","778.69","786.01","788.21","775.07","-","-0.81%"
"Jul 18, 2018","785.03","784.59","788.45","779.51","-","0.01%"
"Jul 17, 2018","784.99","790.02","790.25","782.60","-","-0.65%"
"Jul 16, 2018","790.12","795.75","795.80","789.74","-","-0.70%"
"Jul 15, 2018","795.66","795.72","795.79","795.66","-","0.03%"
"Jul 13, 2018","795.42","801.75","803.01","794.54","-","-0.79%"
"Jul 12, 2018","801.79","796.75","806.09","795.73","-","0.38%"
"Jul 11, 2018","798.74","816.42","816.71","796.36","-","-2.27%"
"Jul 10, 2018","817.29","819.14","821.07","811.54","-","-0.28%"
"Jul 09, 2018","819.62","822.00","832.17","819.04","-","-0.30%"
"Jul 08, 2018","822.09","821.94","822.10","821.87","-","0.04%"
"Jul 06, 2018","821.80","816.84","824.37","816.75","-","0.61%"
"Jul 05, 2018","816.80","810.21","818.78","810.09","-","0.85%"
"Jul 04, 2018","809.91","807.53","811.35","807.31","-","0.36%"
"Jul 03, 2018","807.02","792.56","808.23","789.20","-","1.88%"
"Jul 02, 2018","792.15","798.84","799.25","789.62","-","-0.83%"
"Jul 01, 2018","798.75","798.84","798.99","798.75","-","0.03%"
"Jun 29, 2018","798.52","786.82","801.49","785.67","-","1.50%"
"Jun 28, 2018","786.72","785.49","790.58","784.61","-","-0.01%"
"Jun 27, 2018","786.80","793.00","795.39","785.06","-","-0.78%"
"Jun 26, 2018","792.95","794.67","794.98","788.32","-","-0.15%"
"Jun 25, 2018","794.14","801.38","803.85","794.14","-","-0.89%"
"Jun 24, 2018","801.31","801.40","801.47","801.25","-","0.13%"
"Jun 22, 2018","800.23","790.28","802.30","790.10","-","1.25%"
"Jun 21, 2018","790.35","788.42","794.15","787.46","-","0.22%"
"Jun 20, 2018","788.61","794.81","796.70","787.40","-","-0.76%"
"Jun 19, 2018","794.64","799.60","800.13","788.40","-","-0.61%"
"Jun 18, 2018","799.53","800.41","802.31","798.12","-","-0.12%"
"Jun 17, 2018","800.46","800.42","800.55","800.42","-","-0.06%"
"Jun 15, 2018","800.94","811.03","813.25","798.00","-","-1.51%"
"Jun 14, 2018","813.25","805.25","814.87","805.05","-","0.94%"
"Jun 13, 2018","805.65","804.86","808.50","796.86","-","-0.04%"
"Jun 12, 2018","805.98","806.01","807.28","801.96","-","0.01%"
"Jun 11, 2018","805.90","800.96","808.38","798.04","-","0.59%"
"Jun 10, 2018","801.16","800.96","801.16","800.93","-","0.01%"
"Jun 08, 2018","801.06","805.30","805.32","799.81","-","-0.57%"
"Jun 07, 2018","805.64","806.12","809.28","804.32","-","-0.10%"
"Jun 06, 2018","806.47","803.08","811.29","802.82","-","0.54%"
"Jun 05, 2018","802.14","801.18","805.20","797.98","-","0.14%"
"Jun 04, 2018","801.05","800.96","811.34","800.92","-","-0.01%"
"Jun 03, 2018","801.11","800.96","801.13","800.92","-","0.02%"
"Jun 01, 2018","800.97","800.73","804.61","795.89","-","0.09%"
"May 31, 2018","800.28","806.52","810.19","800.27","-","-0.74%"
"May 30, 2018","806.24","797.08","808.94","796.47","-","1.09%"
"May 29, 2018","797.51","801.85","803.04","790.53","-","-0.51%"
"May 28, 2018","801.59","804.64","805.42","801.59","-","-0.37%"
"May 27, 2018","804.56","804.65","804.67","804.53","-","0.01%"
"May 25, 2018","804.46","815.67","819.18","802.53","-","-1.29%"
"May 24, 2018","815.01","805.85","818.09","805.58","-","1.29%"
"May 23, 2018","804.64","801.26","806.97","796.34","-","0.34%"
"May 22, 2018","801.94","806.55","811.05","800.99","-","-0.40%"
