"Date","Price","Open","High","Low","Vol.","Change %"
"Sep 27, 2018","661.03","653.10","662.07","652.89","-","1.21%"
"Sep 26, 2018","653.11","659.83","662.22","653.08","-","-1.02%"
"Sep 25, 2018","659.81","655.58","660.55","652.47","-","0.63%"
"Sep 24, 2018","655.70","647.57","655.73","647.52","-","1.24%"
"Sep 21, 2018","647.67","645.19","648.35","643.63","-","0.42%"
"Sep 20, 2018","644.95","640.31","651.11","640.23","-","0.72%"
"Sep 19, 2018","640.37","634.98","642.92","634.90","-","0.86%"
"Sep 18, 2018","634.90","624.01","635.42","623.56","-","1.74%"
"Sep 17, 2018","624.02","622.12","625.32","618.79","-","0.30%"
"Sep 14, 2018","622.15","613.48","622.19","613.23","-","1.46%"
"Sep 13, 2018","613.20","607.35","621.64","607.16","-","0.95%"
"Sep 12, 2018","607.44","597.82","608.77","597.49","-","1.67%"
"Sep 11, 2018","597.44","591.14","598.51","590.31","-","1.03%"
"Sep 10, 2018","591.34","594.12","594.64","589.71","-","-0.51%"
"Sep 07, 2018","594.40","596.07","599.44","592.80","-","-0.29%"
"Sep 06, 2018","596.12","602.44","607.86","594.94","-","-1.00%"
"Sep 05, 2018","602.16","606.04","606.56","601.79","-","-0.64%"
"Sep 04, 2018","606.01","611.20","613.01","605.27","-","-0.83%"
"Sep 03, 2018","611.07","613.15","615.61","610.26","-","-0.39%"
"Aug 31, 2018","613.47","611.31","615.03","605.76","-","0.36%"
"Aug 30, 2018","611.26","615.83","618.57","609.95","-","-0.67%"
"Aug 29, 2018","615.40","613.95","615.99","610.53","-","0.21%"
"Aug 28, 2018","614.09","605.23","617.95","605.09","-","1.40%"
"Aug 27, 2018","605.63","603.63","605.81","603.20","-","0.39%"
"Aug 24, 2018","603.29","598.69","605.08","595.70","-","0.76%"
"Aug 23, 2018","598.71","606.12","606.59","596.77","-","-1.26%"
"Aug 22, 2018","606.36","610.66","611.44","602.39","-","-0.66%"
"Aug 21, 2018","610.41","606.83","611.33","603.82","-","0.64%"
"Aug 20, 2018","606.52","600.35","608.77","600.05","-","1.10%"
"Aug 17, 2018","599.90","606.29","608.72","598.24","-","-1.08%"
"Aug 16, 2018","606.42","600.20","608.27","600.16","-","1.07%"
"Aug 15, 2018","600.01","613.56","615.40","598.92","-","-2.19%"
"Aug 14, 2018","613.47","607.18","616.46","607.14","-","1.05%"
"Aug 13, 2018","607.07","603.55","608.35","593.98","-","0.49%"
"Aug 10, 2018","604.09","621.97","622.08","601.64","-","-2.94%"
"Aug 09, 2018","622.36","634.44","634.46","615.78","-","-2.07%"
"Aug 08, 2018","635.50","654.69","655.19","634.47","-","-2.95%"
"Aug 07, 2018","654.81","647.59","657.02","647.52","-","1.11%"
"Aug 06, 2018","647.62","652.96","654.88","646.46","-","-0.85%"
"Aug 03, 2018","653.15","652.32","653.70","646.81","-","0.14%"
"Aug 02, 2018","652.24","663.97","664.07","651.00","-","-1.80%"
"Aug 01, 2018","664.17","666.12","667.04","661.65","-","-0.30%"
"Jul 31, 2018","666.19","662.30","668.35","662.16","-","0.60%"
"Jul 30, 2018","662.21","658.52","664.86","655.88","-","0.55%"
"Jul 27, 2018","658.58","657.22","659.96","655.12","-","0.19%"
"Jul 26, 2018","657.31","656.26","659.53","655.65","-","0.23%"
"Jul 25, 2018","655.81","656.47","656.69","648.40","-","-0.22%"
"Jul 24, 2018","657.24","647.76","657.88","647.62","-","1.46%"
"Jul 23, 2018","647.80","643.08","650.13","642.93","-","0.77%"
"Jul 20, 2018","642.87","646.93","649.21","641.30","-","-0.66%"
"Jul 19, 2018","647.11","659.96","661.42","646.69","-","-1.95%"
"Jul 18, 2018","659.97","662.96","663.88","657.60","-","-0.49%"
"Jul 17, 2018","663.24","668.54","668.62","659.00","-","-0.79%"
"Jul 16, 2018","668.54","670.72","675.21","666.47","-","-0.41%"
"Jul 13, 2018","671.29","666.95","672.65","666.90","-","0.62%"
"Jul 12, 2018","667.17","673.54","673.85","663.41","-","-1.08%"
"Jul 11, 2018","674.45","680.54","680.55","670.37","-","-0.83%"
"Jul 10, 2018","680.09","673.82","682.17","673.69","-","0.96%"
"Jul 09, 2018","673.61","662.15","673.96","662.03","-","1.75%"
"Jul 06, 2018","662.04","658.99","663.44","654.25","-","0.46%"
"Jul 05, 2018","659.04","644.99","659.12","644.92","-","2.16%"
"Jul 04, 2018","645.08","644.69","646.55","644.64","-","0.10%"
"Jul 03, 2018","644.41","648.06","649.79","644.41","-","-0.58%"
"Jul 02, 2018","648.15","644.88","651.48","641.71","-","0.45%"
"Jun 29, 2018","645.22","634.16","646.72","634.13","-","1.77%"
"Jun 28, 2018","633.97","636.96","637.07","630.92","-","-0.53%"
"Jun 27, 2018","637.32","629.99","639.92","627.29","-","1.18%"
"Jun 26, 2018","629.89","635.24","639.08","629.70","-","-0.83%"
"Jun 25, 2018","635.14","635.85","639.70","632.93","-","-0.12%"
"Jun 22, 2018","635.91","626.03","636.89","625.99","-","1.59%"
"Jun 21, 2018","625.98","625.71","629.39","624.39","-","0.05%"
"Jun 20, 2018","625.68","613.22","629.86","613.17","-","2.04%"
"Jun 19, 2018","613.15","623.45","623.53","610.36","-","-1.49%"
"Jun 18, 2018","622.43","630.97","631.10","620.36","-","-1.34%"
"Jun 15, 2018","630.90","640.25","640.40","630.28","-","-1.53%"
"Jun 14, 2018","640.69","640.61","643.36","638.52","-","0.00%"
"Jun 13, 2018","640.68","641.43","642.66","637.62","-","-0.17%"
"Jun 12, 2018","641.76","641.45","642.76","638.88","-","0.02%"
"Jun 11, 2018","641.65","642.62","647.33","640.60","-","-0.08%"
"Jun 08, 2018","642.18","656.84","656.94","641.39","-","-2.27%"
"Jun 07, 2018","657.11","656.46","660.88","656.12","-","0.16%"
"Jun 06, 2018","656.07","658.15","661.71","654.75","-","-0.27%"
"Jun 05, 2018","657.87","660.73","664.47","656.59","-","-0.44%"
"Jun 04, 2018","660.79","652.58","662.07","652.56","-","1.25%"
"Jun 01, 2018","652.61","646.54","656.47","646.29","-","0.94%"
"May 31, 2018","646.53","649.03","657.18","646.06","-","-0.35%"
"May 30, 2018","648.82","647.06","652.01","645.79","-","0.20%"
"May 29, 2018","647.52","654.73","655.47","644.35","-","-1.08%"
"May 28, 2018","654.60","655.22","655.33","654.53","-","-0.10%"
"May 25, 2018","655.24","656.02","660.85","652.44","-","-0.11%"
"May 24, 2018","655.98","657.34","661.77","654.87","-","-0.15%"
