"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 11, 2018","6,990.75","7,014.75","7,032.00","6,989.00","-","-0.35%"
"Oct 10, 2018","7,015.00","7,402.50","7,411.75","7,000.00","-","-5.19%"
"Oct 09, 2018","7,399.00","7,391.00","7,455.75","7,337.00","583.40K","0.10%"
"Oct 08, 2018","7,391.75","7,443.25","7,453.25","7,286.50","615.69K","-0.60%"
"Oct 05, 2018","7,436.00","7,521.00","7,540.00","7,347.00","735.02K","-1.04%"
"Oct 04, 2018","7,514.25","7,651.00","7,651.00","7,456.50","704.91K","-1.96%"
"Oct 03, 2018","7,664.75","7,656.25","7,703.75","7,641.50","394.54K","0.16%"
"Oct 02, 2018","7,652.75","7,675.00","7,712.75","7,630.25","392.58K","-0.30%"
"Oct 01, 2018","7,675.50","7,672.00","7,728.75","7,652.00","358.16K","0.26%"
"Sep 28, 2018","7,655.25","7,663.50","7,677.00","7,617.00","381.50K","-0.03%"
"Sep 27, 2018","7,657.25","7,590.25","7,686.25","7,586.00","377.69K","0.88%"
"Sep 26, 2018","7,590.25","7,598.00","7,668.00","7,577.50","405.83K","-0.07%"
"Sep 25, 2018","7,595.25","7,591.00","7,603.25","7,550.50","318.33K","0.12%"
"Sep 24, 2018","7,586.00","7,539.75","7,594.00","7,473.75","390.76K","-0.18%"
"Sep 21, 2018","7,599.98","7,581.50","7,619.25","7,571.00","5.32K","0.27%"
"Sep 20, 2018","7,579.75","7,500.50","7,587.50","7,485.25","74.39K","1.10%"
"Sep 19, 2018","7,497.50","7,499.25","7,517.25","7,442.50","95.71K","0.03%"
"Sep 18, 2018","7,495.25","7,434.25","7,535.25","7,393.50","171.31K","0.79%"
"Sep 17, 2018","7,436.25","7,534.00","7,547.25","7,429.50","197.77K","-1.44%"
"Sep 14, 2018","7,544.75","7,563.50","7,598.75","7,515.25","237.77K","-0.26%"
"Sep 13, 2018","7,564.50","7,483.25","7,583.25","7,470.00","459.82K","1.05%"
"Sep 12, 2018","7,485.75","7,515.25","7,541.00","7,425.00","586.14K","-0.35%"
"Sep 11, 2018","7,512.00","7,460.50","7,524.75","7,404.50","467.70K","0.69%"
"Sep 10, 2018","7,460.25","7,433.00","7,483.50","7,414.00","418.80K","0.29%"
"Sep 07, 2018","7,438.50","7,454.75","7,494.75","7,393.00","606.52K","-0.25%"
"Sep 06, 2018","7,457.50","7,530.00","7,544.50","7,407.75","650.89K","-0.99%"
"Sep 05, 2018","7,531.75","7,642.25","7,643.25","7,503.25","522.31K","-1.40%"
"Sep 04, 2018","7,638.75","7,670.00","7,693.75","7,586.75","470.67K","-0.45%"
"Sep 03, 2018","7,673.50","7,673.25","7,686.25","7,658.50","-","0.00%"
"Sep 02, 2018","7,673.25","7,674.00","7,675.50","7,664.50","-","0.16%"
